PLAYER_NAME,SALARY
Stephen Curry,62587158
Nikola Jokić,59033114
Jayson Tatum,58456566
Anthony Davis,58456566
Giannis Antetokounmpo,58456566
Joel Embiid,58100000
Jaylen Brown,57078728
Devin Booker,57078728
Karl-Anthony Towns,57078728
Jimmy Butler,56832773
Paul George,54126380
Kawhi Leonard,50300000
Donovan Mitchell,50105628
Cade Cunningham,50105628
Evan Mobley,50105628
Jamal Murray,50105628
De'Aaron Fox,49800000
Bam Adebayo,49800000
Luka Dončić,49800000
Trae Young,49488300
Jaren Jackson Jr.,49000000
Zach LaVine,48967380
Anthony Edwards,48924624
Tyrese Haliburton,48924624
Pascal Siakam,48924624
Lauri Markkanen,46113154
Domantas Sabonis,45472000
Kevin Durant,43902439
OG Anunoby,42500000
Ja Morant,42166510
Zion Williamson,42166510
Darius Garland,42166510
Scottie Barnes,41754690
Franz Wagner,41754690
Jalen Williams,41500000
Chet Holmgren,41500000
Paolo Banchero,41500000
Austin Reaves,41240250
Shai Gilgeous-Alexander,40806150
Michael Porter Jr.,40806150
Tyrese Maxey,40770520
LaMelo Ball,40770520
Brandon Ingram,40000000
Kyrie Irving,39491282
Desmond Bane,39446090
Jalen Brunson,37739521
Rudy Gobert,36500000
Jalen Green,36251166
Alperen Şengün,35642202
Jrue Holiday,34800000
Jerami Grant,34206898
Jordan Poole,34044642
Aaron Gordon,33658037
Mikal Bridges,33482145
Julius Randle,33333334
Tyler Herro,33000000
Dejounte Murray,32785071
Immanuel Quickley,32500000
Jalen Suggs,32400000
James Harden,30647619
Derrick White,30348000
Walker Kessler,30232558
Andrew Wiggins,30169644
Jalen Johnson,30000000
RJ Barrett,29616071
Jarrett Allen,28000000
Draymond Green,27678571
Trey Murphy III,27000000
Devin Vassell,27000000
Myles Turner,26584164
Jaden McDaniels,26200001
Dyson Daniels,25000000
Josh Giddey,25000000
Fred VanVleet,25000000
De'Andre Hunter,24910714
Keegan Murray,24137936
Jabari Smith Jr.,23643411
Naz Reid,23275862
Isaiah Hartenstein,23148148
Nic Claxton,23147727
Cameron Johnson,23062500
Coby White,22839506
Miles Bridges,22826087
Damian Lillard,35915403
Christian Braun,21551726
Norman Powell,21500000
CJ McCollum,21000000
Josh Hart,20923760
Peyton Watson,20465116
Kyle Kuzma,20345152
Ivica Zubac,20342140
Malik Monk,20190035
Shaedon Sharpe,20089287
Dillon Brooks,19992727
P.J. Washington,19813044
Alex Caruso,19550160
Andrew Nembhard,19550160
Kristaps Porziņģis,19512195
Jakob Poeltl,19500000
Bradley Beal,25807810
Ayo Dosunmu,19310345
